,Dataset,Encoding,Mask,Avg. MSE,Std. MSE,stride,indim
0,MetroTraffic,STD,C,0.4691117687344721,0.009927025618006458,1,13
1,MetroTraffic,ORD,C,0.47925376138374814,0.009938864927006203,1,9
2,MetroTraffic,OHE,C,0.5957926156626518,0.015548262442166167,1,79
3,MetroTraffic,STD,C,0.5056778923035259,0.009310188440907963,8,13
4,MetroTraffic,ORD,C,0.5079461334677304,0.014224671815002955,8,9
5,MetroTraffic,OHE,C,0.709428582424138,0.02047267129417386,8,79
6,MetroTraffic,STD,C,0.5061746822607336,0.011201265341688495,16,13
7,MetroTraffic,ORD,C,0.5186745801947058,0.012463045671745412,16,9
8,MetroTraffic,OHE,C,0.7466425069086167,0.01702277587831534,16,79
9,MetroTraffic,STD,C,0.5471785945602516,0.01562606109383269,32,13
10,MetroTraffic,ORD,C,0.5200247207728109,0.016816463310916643,32,9
11,MetroTraffic,OHE,C,0.7847940662960274,0.01635438014171609,32,79
12,MetroTraffic,STD,M,0.3583589881424663,0.05844715102304144,1,13
13,MetroTraffic,ORD,M,0.4356865241887534,0.025459910486852005,1,9
14,MetroTraffic,OHE,M,0.6020849846914613,0.07079463749172919,1,79
15,MetroTraffic,STD,M,0.4387360946235189,0.03668620265447179,8,13
16,MetroTraffic,ORD,M,0.4156736203856511,0.03779956120926114,8,9
17,MetroTraffic,OHE,M,0.713860796438109,0.062224487775903434,8,79
18,MetroTraffic,STD,M,0.43074391713564586,0.05427842768159889,16,13
19,MetroTraffic,ORD,M,0.47809814174488735,0.05933077493804465,16,9
20,MetroTraffic,OHE,M,0.8743213547994886,0.07009740462469483,16,79
21,MetroTraffic,STD,M,0.435933380349023,0.03322056800152321,32,13
22,MetroTraffic,ORD,M,0.4185609671767166,0.0560734942038417,32,9
23,MetroTraffic,OHE,M,0.8236758756917075,0.07289068792225699,32,79
24,MetroTraffic,STD,F,0.21395856903175497,0.01828665031294822,1,13
25,MetroTraffic,ORD,F,0.2518278526520855,0.014520325485260678,1,9
26,MetroTraffic,OHE,F,0.27600546360777983,0.010790792361244089,1,79
27,MetroTraffic,STD,F,0.13988256782408398,0.01064251258431047,8,13
28,MetroTraffic,ORD,F,0.13724127093192057,0.01038161752170684,8,9
29,MetroTraffic,OHE,F,0.22055013958462238,0.02005825895914944,8,79
30,MetroTraffic,STD,F,0.13908516571809212,0.0066549260711333815,16,13
31,MetroTraffic,ORD,F,0.13557341208371934,0.008345854766933081,16,9
32,MetroTraffic,OHE,F,0.19688193494732747,0.006940576238198009,16,79
33,MetroTraffic,STD,F,0.13718408444974445,0.01025140954837944,32,13
34,MetroTraffic,ORD,F,0.12190500790961334,0.011329539153483493,32,9
35,MetroTraffic,OHE,F,0.18516845262122356,0.006471497507067573,32,79
36,AustraliaTourism,STD,C,0.17326213753184017,0.006781655183609731,1,11
37,AustraliaTourism,ORD,C,0.46576549561156694,0.08355855649241901,1,6
38,AustraliaTourism,OHE,C,0.08791245520766461,0.0006667620474453293,1,112
39,AustraliaTourism,STD,C,0.16664331922704712,0.011885525356363367,8,11
40,AustraliaTourism,ORD,C,0.47435557214975166,0.10336263719360464,8,6
41,AustraliaTourism,OHE,C,0.08443096196320973,0.0007776520354244138,8,112
42,AustraliaTourism,STD,C,0.1907939808703341,0.015828738183563666,16,11
43,AustraliaTourism,ORD,C,0.47421361213858226,0.14131115401406555,16,6
44,AustraliaTourism,OHE,C,0.08248657184561284,0.0005725758629327208,16,112
45,AustraliaTourism,STD,C,0.3036578434105309,0.062333080999562036,32,11
46,AustraliaTourism,ORD,C,0.427024151963913,0.128890085459798,32,6
47,AustraliaTourism,OHE,C,0.08440150673952304,0.0006580869795054329,32,112
48,AustraliaTourism,STD,M,0.2990259764813876,0.01666303325999366,1,11
49,AustraliaTourism,ORD,M,0.11657420568630908,0.021893597812716232,1,6
50,AustraliaTourism,OHE,M,0.08833335872709909,0.0011747849667457302,1,112
51,AustraliaTourism,STD,M,0.2779839015885989,0.046235186322277355,8,11
52,AustraliaTourism,ORD,M,0.09173742974505528,0.004251936459132615,8,6
53,AustraliaTourism,OHE,M,0.09051357437860566,0.0012038463880831127,8,112
54,AustraliaTourism,STD,M,0.4035373037387947,0.09398390134397339,16,11
55,AustraliaTourism,ORD,M,0.09307027104878342,0.0035159133446153183,16,6
56,AustraliaTourism,OHE,M,0.08849083435612887,0.0004680064421188392,16,112
57,AustraliaTourism,STD,M,0.7168657055682937,0.1469429439112019,32,11
58,AustraliaTourism,ORD,M,0.08852938569964867,0.0033322109895298,32,6
59,AustraliaTourism,OHE,M,0.08957866158198366,0.001088158402854742,32,112
60,AustraliaTourism,STD,F,0.19295622632094198,0.006774889706073787,1,11
61,AustraliaTourism,ORD,F,0.16478012673564055,0.01935401739922301,1,6
62,AustraliaTourism,OHE,F,0.1433408325832725,0.0007367960179333088,1,112
63,AustraliaTourism,STD,F,0.1526935259970505,0.0071514556945266785,8,11
64,AustraliaTourism,ORD,F,0.11212196850751013,0.006634557701979706,8,6
65,AustraliaTourism,OHE,F,0.12199202770256634,0.0005843000787537793,8,112
66,AustraliaTourism,STD,F,0.15389444793246687,0.0014510323261341114,16,11
67,AustraliaTourism,ORD,F,0.11900720626160144,0.013292469498622426,16,6
68,AustraliaTourism,OHE,F,0.11915805610449859,0.0006569953151462537,16,112
69,AustraliaTourism,STD,F,0.23115226415641507,0.0515964130205465,32,11
70,AustraliaTourism,ORD,F,0.11119041795841891,0.0035394379411254552,32,6
71,AustraliaTourism,OHE,F,0.12352614432262739,0.0005206103168896598,32,112
72,PanamaEnergy,STD,C,1.0284894656547146,0.01419718087355017,1,14
73,PanamaEnergy,ORD,C,0.5769834647987936,0.013067402470090868,1,9
74,PanamaEnergy,OHE,C,0.919077043231441,0.004743987631559706,1,80
75,PanamaEnergy,STD,C,1.0160229322265513,0.0125513147557825,8,14
76,PanamaEnergy,ORD,C,0.6281149574720047,0.01638942837628341,8,9
77,PanamaEnergy,OHE,C,0.850482570190751,0.011187444538087246,8,80
78,PanamaEnergy,STD,C,1.0307181555047786,0.014968898744064625,16,14
79,PanamaEnergy,ORD,C,0.631266946746082,0.01218985515761451,16,9
80,PanamaEnergy,OHE,C,0.8872149149890628,0.010987502071350038,16,80
81,PanamaEnergy,STD,C,1.0726173649651476,0.0215508399118864,32,14
82,PanamaEnergy,ORD,C,0.6736857482348554,0.009521415917898268,32,9
83,PanamaEnergy,OHE,C,0.9540221818606376,0.011055662696949615,32,80
84,PanamaEnergy,STD,M,0.37664472349471795,0.08808400222274425,1,14
85,PanamaEnergy,ORD,M,0.28817923803250717,0.026227905677818544,1,9
86,PanamaEnergy,OHE,M,0.6918473875035106,0.03879647731931925,1,80
87,PanamaEnergy,STD,M,0.511441053110522,0.10198171232257176,8,14
88,PanamaEnergy,ORD,M,0.3516470544613409,0.01476923083784103,8,9
89,PanamaEnergy,OHE,M,0.7097567894009207,0.03026908644872491,8,80
90,PanamaEnergy,STD,M,0.6370609717598529,0.13390199063798805,16,14
91,PanamaEnergy,ORD,M,0.391137498765472,0.031388913739250554,16,9
92,PanamaEnergy,OHE,M,0.8083409943071143,0.08810268033928066,16,80
93,PanamaEnergy,STD,M,0.7201684817496586,0.05018508957346073,32,14
94,PanamaEnergy,ORD,M,0.498943808064605,0.07730730229003524,32,9
95,PanamaEnergy,OHE,M,0.8667768942496398,0.07787728437296862,32,80
96,PanamaEnergy,STD,F,0.1789284572651227,0.0024438372701452967,1,14
97,PanamaEnergy,ORD,F,0.24958315715982837,0.00180162417769587,1,9
98,PanamaEnergy,OHE,F,0.44546426898929753,0.0038732210345517777,1,80
99,PanamaEnergy,STD,F,0.17670300074461698,0.002437355483698183,8,14
100,PanamaEnergy,ORD,F,0.26507914253452614,0.003724097440775798,8,9
101,PanamaEnergy,OHE,F,0.4755422122848558,0.0014022801300925078,8,80
102,PanamaEnergy,STD,F,0.18380327740278943,0.0033183147209579957,16,14
103,PanamaEnergy,ORD,F,0.25794823793006016,0.004223762983496159,16,9
104,PanamaEnergy,OHE,F,0.47725121584068403,0.006414417210547837,16,80
105,PanamaEnergy,STD,F,0.21208958442984086,0.004252898638059954,32,14
106,PanamaEnergy,ORD,F,0.2755307043457585,0.007225469667491648,32,9
107,PanamaEnergy,OHE,F,0.5416331117202211,0.012742876787118242,32,80
108,RossmanSales,STD,C,0.6547921340553481,0.01157986909265793,1,10
109,RossmanSales,ORD,C,0.3875345675287877,0.006341606471246154,1,6
110,RossmanSales,OHE,C,0.5755218097935749,0.013394471008576372,1,58
111,RossmanSales,STD,C,0.6157779211218447,0.0053467846321799154,8,10
112,RossmanSales,ORD,C,0.4143954392839963,0.014324239490334342,8,6
113,RossmanSales,OHE,C,0.4908085969213351,0.005987176698747133,8,58
114,RossmanSales,STD,C,0.590446360595786,0.01157794310132782,16,10
115,RossmanSales,ORD,C,0.4334451938176745,0.020956013497490638,16,6
116,RossmanSales,OHE,C,0.5231727274193512,0.012061742488311978,16,58
117,RossmanSales,STD,C,0.6183518217650822,0.008725059518965347,32,10
118,RossmanSales,ORD,C,0.4637710533228553,0.03066824565955943,32,6
119,RossmanSales,OHE,C,0.6211490337859903,0.01149018064213517,32,58
120,RossmanSales,STD,M,0.6273859611072443,0.03647839686995705,1,10
121,RossmanSales,ORD,M,0.4050568654315831,0.015797053650347823,1,6
122,RossmanSales,OHE,M,0.4712719152727793,0.01086229719359977,1,58
123,RossmanSales,STD,M,0.5700988230876938,0.02041477636872991,8,10
124,RossmanSales,ORD,M,0.40216958566983074,0.021953664326476018,8,6
125,RossmanSales,OHE,M,0.46784709230170557,0.01606470202832966,8,58
126,RossmanSales,STD,M,0.5522362873064655,0.03740107410766204,16,10
127,RossmanSales,ORD,M,0.4024605623110129,0.055007528903242404,16,6
128,RossmanSales,OHE,M,0.5572340996950188,0.024027079568452476,16,58
129,RossmanSales,STD,M,0.6111230070072503,0.02788266774159457,32,10
130,RossmanSales,ORD,M,0.48431682884306415,0.06223980605990624,32,6
131,RossmanSales,OHE,M,0.7853914367902257,0.010681113171652936,32,58
132,RossmanSales,STD,F,0.4453609615031868,0.004211179381047026,1,10
133,RossmanSales,ORD,F,0.09105290303922249,0.0015790884488540535,1,6
134,RossmanSales,OHE,F,0.4141134888626968,0.0007649229093993636,1,58
135,RossmanSales,STD,F,0.20782791852800991,0.004965005058528557,8,10
136,RossmanSales,ORD,F,0.09811667579748086,0.0012480280695674256,8,6
137,RossmanSales,OHE,F,0.2622440356724888,0.0015535660376296272,8,58
138,RossmanSales,STD,F,0.18975228655447393,0.0013288657299015247,16,10
139,RossmanSales,ORD,F,0.0958524068474638,0.0020889443700356906,16,6
140,RossmanSales,OHE,F,0.24533510851582974,0.0015679030576805874,16,58
141,RossmanSales,STD,F,0.1797506810235212,0.0014724639145516365,32,10
142,RossmanSales,ORD,F,0.11320802437173463,0.0014244872406515964,32,6
143,RossmanSales,OHE,F,0.22975439581922572,0.00033598258268891586,32,58
