,Dataset,Encoding,Mask,Avg. MSE,Std. MSE,stride,indim
0,MetroTraffic,STD,C,0.5119843542035913,0.00856461739610116,8,13
1,MetroTraffic,ORD,C,0.5109064677294659,0.015433553038282189,8,9
2,MetroTraffic,OHE,C,0.7360163516821447,0.02111509956422845,8,79
3,MetroTraffic,STD,M,0.39566654107634347,0.01940940504382153,8,13
4,MetroTraffic,ORD,M,0.37434653432749904,0.0438559133324002,8,9
5,MetroTraffic,OHE,M,0.6521273081002527,0.07065495500223758,8,79
6,MetroTraffic,STD,F,0.1113786383371961,0.0076665231648764464,8,13
7,MetroTraffic,ORD,F,0.11482632117371805,0.0043188539645771865,8,9
8,MetroTraffic,OHE,F,0.17541653265829163,0.013595254547307044,8,79
9,AustraliaTourism,STD,C,0.15205681749772298,0.006105364761603892,8,11
10,AustraliaTourism,ORD,C,0.45199997222144506,0.06826590093994772,8,6
11,AustraliaTourism,OHE,C,0.0814029499927923,0.0005849550552755209,8,112
12,AustraliaTourism,STD,M,0.24635863051285445,0.008586299258201601,8,11
13,AustraliaTourism,ORD,M,0.08407311261121667,0.002807294868527175,8,6
14,AustraliaTourism,OHE,M,0.08814225093996686,0.0009374668096998613,8,112
15,AustraliaTourism,STD,F,0.13957236742989565,0.004209027968973205,8,11
16,AustraliaTourism,ORD,F,0.10582254171963568,0.0033807922731395822,8,6
17,AustraliaTourism,OHE,F,0.11917933440932145,0.0005898349213420223,8,112
18,PanamaEnergy,STD,C,1.0055287434644626,0.012861460028599453,8,14
19,PanamaEnergy,ORD,C,0.6337589856558381,0.018981409919345674,8,9
20,PanamaEnergy,OHE,C,0.9006879153176269,0.013006744786953682,8,80
21,PanamaEnergy,STD,M,0.5867790041419546,0.12778331511515192,8,14
22,PanamaEnergy,ORD,M,0.35202512056205565,0.02292392499448514,8,9
23,PanamaEnergy,OHE,M,0.7782050402160998,0.043504710859139886,8,80
24,PanamaEnergy,STD,F,0.16549773698138828,0.00320449174020681,8,14
25,PanamaEnergy,ORD,F,0.25852182914441113,0.002796886221265287,8,9
26,PanamaEnergy,OHE,F,0.47991555987604634,0.0036789038193404677,8,80
27,RossmanSales,STD,C,0.5977514837368071,0.005589027171312108,8,10
28,RossmanSales,ORD,C,0.4390497443886094,0.0205367085080772,8,6
29,RossmanSales,OHE,C,0.5866618520887388,0.01252006494982253,8,58
30,RossmanSales,STD,M,0.5373659775636238,0.023471503838012376,8,10
31,RossmanSales,ORD,M,0.424832885272855,0.0545078259702745,8,6
32,RossmanSales,OHE,M,0.6872767881022621,0.020703997674384404,8,58
33,RossmanSales,STD,F,0.1486826863951546,0.0021588978417167864,8,10
34,RossmanSales,ORD,F,0.10471046759674092,0.0019290326158684344,8,6
35,RossmanSales,OHE,F,0.2126872636787854,0.001215635161689919,8,58
36,BeijingAirQuality,STD,C,1.4810853096676073,0.018855316273159322,8,21
37,BeijingAirQuality,ORD,C,1.1104818393700817,0.018386151239530205,8,16
38,BeijingAirQuality,OHE,C,,,8,89
39,BeijingAirQuality,STD,M,0.9810599869074987,0.01479940163720225,8,21
40,BeijingAirQuality,ORD,M,0.7387191688644856,0.01672778120305913,8,16
41,BeijingAirQuality,OHE,M,,,8,89
42,BeijingAirQuality,STD,F,0.09898736852326978,0.009081524950908006,8,21
43,BeijingAirQuality,ORD,F,0.08883223086327871,0.0015041084996999636,8,16
44,BeijingAirQuality,OHE,F,,,8,89
