,Dataset,Parallelism,Level,Queries,Avg. MSE,Std. MSE,Avg. Time,Std. Time
0,AustraliaTourism,AR-8,C,30800,0.21396732491413223,0.032568597898092556,298.6441360532306,2.018178898255937
1,AustraliaTourism,AR-8,M,5200,0.23903089655042842,0.003673851847907441,50.279348156135526,0.4494702869429259
2,AustraliaTourism,AR-8,F,30800,0.14476110512734863,0.003049197598918294,297.4883336694911,1.7312220052481322
3,AustraliaTourism,AR-16,C,15400,0.17691268361119858,0.022186967866409054,148.22465087650343,1.2238489499833536
4,AustraliaTourism,AR-16,M,3000,0.25567869471370525,0.038561206079450454,28.859419527929276,0.5459359727615196
5,AustraliaTourism,AR-16,F,15400,0.15871871002667376,0.03139957370564919,149.2427630304359,0.528942451918601
6,AustraliaTourism,AR-32,C,7600,0.2902038591427568,0.041254429029898614,73.91941579477862,0.9005645605402659
7,AustraliaTourism,AR-32,M,1800,0.3501900680095543,0.09384241013297613,17.51143705844879,0.5629691676489844
8,AustraliaTourism,AR-32,F,7600,0.1376742203957188,0.0015562112470204907,73.95719211660325,0.6278505830173338
9,AustraliaTourism,Pipe-1,C,400,0.1670686306148646,0.00833131303219697,17.837627644930034,0.6497231394475768
10,AustraliaTourism,Pipe-1,M,400,0.28840931498490985,0.04509586285613804,17.78398721376434,0.841743868082653
11,AustraliaTourism,Pipe-1,F,400,0.15172508551303016,0.0029760324938912113,17.518023606669157,0.5723074075325312
12,AustraliaTourism,Pipe-8,C,200,0.15205681749772298,0.006105364761603892,5.258459582179785,0.5790920117309265
13,AustraliaTourism,Pipe-8,M,200,0.24635863051285445,0.008586299258201601,5.446967551857233,0.7436314862619402
14,AustraliaTourism,Pipe-8,F,200,0.13957236742989565,0.004209027968973205,5.283001705817878,0.62338817767586
15,AustraliaTourism,Pipe-16,C,200,0.1659186983912968,0.011663071110076955,5.642308852635324,0.6404940041088226
16,AustraliaTourism,Pipe-16,M,200,0.24944241387930893,0.0050910910398884,5.81866017524153,0.6145756846809443
17,AustraliaTourism,Pipe-16,F,200,0.13971354241257025,0.003707271504006939,5.335646762046963,0.7476819085034285
18,AustraliaTourism,Pipe-32,C,200,0.30364447233057956,0.0623327420554042,5.5491386647336185,0.5875600822934137
19,AustraliaTourism,Pipe-32,M,200,0.7145438991316507,0.14660917111763141,5.58184867920354,0.5879457782789018
20,AustraliaTourism,Pipe-32,F,200,0.19377855257929116,0.06459264951431402,5.367521669343114,0.6449746347976687
21,AustraliaTourism,TimeGAN,C,1,8.15917717710669,0.11501225137970146,0.020366427674889564,0.035636524170451156
22,AustraliaTourism,TimeGAN,M,1,8.372697270099493,0.06241225912179261,0.01922133881598711,0.03661344010674397
23,AustraliaTourism,TimeGAN,F,1,9.716537598401487,0.12451773350050117,0.09582852479070425,0.01
24,MetroTraffic,AR-8,C,198600,0.8268729033516771,0.11075748735742923,1937.021236669831,6.4882855678509594
25,MetroTraffic,AR-8,M,8400,0.36720509825641445,0.016633388694448595,83.22525748219341,1.2121127698056615
26,MetroTraffic,AR-8,F,56600,0.12997523386267434,0.008834986541216493,546.0983456567861,1.6961999624478343
27,MetroTraffic,AR-16,C,99200,0.5042748193614492,0.042436279703116225,971.7421417671255,3.573305710783885
