,Dataset,Stride,Mask,Avg. MSE,Std. MSE
0,AustraliaTourism,Pipe-8,0.25,0.14100540794084168,0.003304128653092198
1,AustraliaTourism,Pipe-8,0.50,0.13971908370931002,0.002555087499429902
2,AustraliaTourism,Pipe-8,0.75,0.13842758142787312,0.005006520964373046
3,MetroTraffic,Pipe-8,0.25,0.09248526301135382,0.0027315043269874775
4,MetroTraffic,Pipe-8,0.50,0.10407237952297185,0.002104479832157547
5,MetroTraffic,Pipe-8,0.75,0.13689100233549908,0.002761161420254522
6,BeijingAirQuality,Pipe-8,0.25,0.14566839915845892,0.00370735473957293
7,BeijingAirQuality,Pipe-8,0.50,0.1672124674099496,0.0026361112765316756
8,BeijingAirQuality,Pipe-8,0.75,0.2954210978323213,0.005083892642259932
9,RossmanSales,Pipe-8,0.25,0.23256943585381212,0.006918910246082237
10,RossmanSales,Pipe-8,0.50,0.27135226474767615,0.008036575274885825
11,RossmanSales,Pipe-8,0.75,0.35127997101902597,0.008306030488950358
12,PanamaEnergy,Pipe-8,0.25,0.0038354125109864878,1.7685755885429252e-05
13,PanamaEnergy,Pipe-8,0.50,0.009405117663625829,0.00010627134268916394
14,PanamaEnergy,Pipe-8,0.75,0.029862085496868286,0.0008490539989700854
