,Dataset,Parallelism,Level,Queries,Avg. MSE,Std. MSE,Avg. Time,Std. Time
0,AustraliaTourism,Pipe-1,C,,0.1670686306148646,0.00833131303219697,,
1,AustraliaTourism,Pipe-1,M,,0.28840931498490985,0.04509586285613804,,
2,AustraliaTourism,Pipe-1,F,,0.15172508551303016,0.0029760324938912113,,
3,AustraliaTourism,PipeNS-1,C,,0.2323587077238852,0.012074200209371647,,
4,AustraliaTourism,PipeNS-1,M,,0.5338239453244087,0.04539684620883571,,
5,AustraliaTourism,PipeNS-1,F,,0.19996228290910284,0.01615963246560991,,
6,AustraliaTourism,Pipe-8,C,,0.15205681749772298,0.006105364761603892,,
7,AustraliaTourism,Pipe-8,M,,0.24635863051285445,0.008586299258201601,,
8,AustraliaTourism,Pipe-8,F,,0.13957236742989565,0.004209027968973205,,
9,AustraliaTourism,PipeNS-8,C,,0.22189547041503266,0.029567854310565675,,
10,AustraliaTourism,PipeNS-8,M,,0.38079655538091467,0.054061366505515795,,
11,AustraliaTourism,PipeNS-8,F,,0.17767742408069034,0.02357065405889881,,
12,AustraliaTourism,Pipe-16,C,,0.1670686306148646,0.00833131303219697,,
13,AustraliaTourism,Pipe-16,M,,0.28840931498490985,0.04509586285613804,,
14,AustraliaTourism,Pipe-16,F,,0.15172508551303016,0.0029760324938912113,,
15,AustraliaTourism,PipeNS-16,C,,0.2323587077238852,0.012074200209371647,,
16,AustraliaTourism,PipeNS-16,M,,0.5338239453244087,0.04539684620883571,,
17,AustraliaTourism,PipeNS-16,F,,0.19996228290910284,0.01615963246560991,,
18,AustraliaTourism,Pipe-32,C,,0.30364447233057956,0.0623327420554042,,
19,AustraliaTourism,Pipe-32,M,,0.7145438991316507,0.14660917111763141,,
20,AustraliaTourism,Pipe-32,F,,0.19377855257929116,0.06459264951431402,,
21,AustraliaTourism,PipeNS-32,C,,0.30364447233057956,0.0623327420554042,,
22,AustraliaTourism,PipeNS-32,M,,0.7145438991316507,0.14660917111763141,,
23,AustraliaTourism,PipeNS-32,F,,0.19377855257929116,0.06459264951431402,,
24,MetroTraffic,Pipe-1,C,,0.5215644908394327,0.0113609468144398,,
25,MetroTraffic,Pipe-1,M,,0.39038461696001825,0.060836061760856354,,
26,MetroTraffic,Pipe-1,F,,0.10928718017747327,0.008471806984942293,,
27,MetroTraffic,PipeNS-1,C,,0.5374065504571506,0.01122623742196647,,
28,MetroTraffic,PipeNS-1,M,,0.41755557059117293,0.06613059775601823,,
29,MetroTraffic,PipeNS-1,F,,0.22127993998748216,0.0254882531863101,,
30,MetroTraffic,Pipe-8,C,,0.5119843542035913,0.00856461739610116,,
31,MetroTraffic,Pipe-8,M,,0.39566654107634347,0.01940940504382153,,
32,MetroTraffic,Pipe-8,F,,0.1113786383371961,0.0076665231648764464,,
33,MetroTraffic,PipeNS-8,C,,0.5443750500275104,0.009858979481683778,,
34,MetroTraffic,PipeNS-8,M,,0.4702158809907278,0.048409165116495644,,
35,MetroTraffic,PipeNS-8,F,,0.12698590900399082,0.006547652683071948,,
36,MetroTraffic,Pipe-16,C,,0.5215644908394327,0.0113609468144398,,
37,MetroTraffic,Pipe-16,M,,0.39038461696001825,0.060836061760856354,,
38,MetroTraffic,Pipe-16,F,,0.10928718017747327,0.008471806984942293,,
39,MetroTraffic,PipeNS-16,C,,0.5374065504571506,0.01122623742196647,,
40,MetroTraffic,PipeNS-16,M,,0.41755557059117293,0.06613059775601823,,
41,MetroTraffic,PipeNS-16,F,,0.22127993998748216,0.0254882531863101,,
42,MetroTraffic,Pipe-32,C,,0.5468402133604024,0.015548380270266358,,
43,MetroTraffic,Pipe-32,M,,0.41021379816092984,0.038142855223974384,,
44,MetroTraffic,Pipe-32,F,,0.12098050840351929,0.011210262160606293,,
45,MetroTraffic,PipeNS-32,C,,0.5468402133604024,0.015548380270266358,,
46,MetroTraffic,PipeNS-32,M,,0.41021379816092984,0.038142855223974384,,
47,MetroTraffic,PipeNS-32,F,,0.12098050840351929,0.011210262160606293,,
48,BeijingAirQuality,Pipe-1,C,,1.5232401255011283,0.022233512660161697,,
49,BeijingAirQuality,Pipe-1,M,,1.0426664389903995,0.01524008253554128,,
50,BeijingAirQuality,Pipe-1,F,,0.10360055536517059,0.007591930068447712,,
51,BeijingAirQuality,PipeNS-1,C,,1.551146013881982,0.020669642347643326,,
52,BeijingAirQuality,PipeNS-1,M,,1.0806493097152732,0.012308674107572847,,
53,BeijingAirQuality,PipeNS-1,F,,0.20161140805166186,0.007275100296251067,,
54,BeijingAirQuality,Pipe-8,C,,1.4810853096676073,0.018855316273159322,,
55,BeijingAirQuality,Pipe-8,M,,0.9810599869074987,0.01479940163720225,,
56,BeijingAirQuality,Pipe-8,F,,0.09898736852326978,0.009081524950908006,,
57,BeijingAirQuality,PipeNS-8,C,,1.541137218630907,0.01800909601372642,,
58,BeijingAirQuality,PipeNS-8,M,,1.0503494124812656,0.01679589899459796,,
59,BeijingAirQuality,PipeNS-8,F,,0.10212487419396894,0.009828705494529567,,
60,BeijingAirQuality,Pipe-16,C,,1.5232401255011283,0.022233512660161697,,
61,BeijingAirQuality,Pipe-16,M,,1.0426664389903995,0.01524008253554128,,
62,BeijingAirQuality,Pipe-16,F,,0.10360055536517059,0.007591930068447712,,
63,BeijingAirQuality,PipeNS-16,C,,1.551146013881982,0.020669642347643326,,
64,BeijingAirQuality,PipeNS-16,M,,1.0806493097152732,0.012308674107572847,,
65,BeijingAirQuality,PipeNS-16,F,,0.20161140805166186,0.007275100296251067,,
66,BeijingAirQuality,Pipe-32,C,,1.529547449194905,0.014472041088508114,,
67,BeijingAirQuality,Pipe-32,M,,1.0510973707933267,0.0149678264711233,,
68,BeijingAirQuality,Pipe-32,F,,0.11125352101734083,0.01119687801078424,,
69,BeijingAirQuality,PipeNS-32,C,,1.529547449194905,0.014472041088508114,,
70,BeijingAirQuality,PipeNS-32,M,,1.0510973707933267,0.0149678264711233,,
71,BeijingAirQuality,PipeNS-32,F,,0.11125352101734083,0.01119687801078424,,
72,RossmanSales,Pipe-1,C,,0.5929114366853895,0.007929178630625332,,
73,RossmanSales,Pipe-1,M,,0.5422857536565482,0.022019751457108876,,
74,RossmanSales,Pipe-1,F,,0.1648973545500653,0.0015746784337097865,,
75,RossmanSales,PipeNS-1,C,,0.6724684237633131,0.007688719411268026,,
76,RossmanSales,PipeNS-1,M,,0.6440232536532298,0.02070534151094393,,
77,RossmanSales,PipeNS-1,F,,0.3252802982118197,0.005849989557170696,,
78,RossmanSales,Pipe-8,C,,0.5977514837368071,0.005589027171312108,,
79,RossmanSales,Pipe-8,M,,0.5373659775636238,0.023471503838012376,,
80,RossmanSales,Pipe-8,F,,0.1486826863951546,0.0021588978417167864,,
81,RossmanSales,PipeNS-8,C,,0.6154028557480377,0.004900685765080357,,
82,RossmanSales,PipeNS-8,M,,0.5613015764318743,0.02163251914395451,,
83,RossmanSales,PipeNS-8,F,,0.16785857124081963,0.003324959452525497,,
84,RossmanSales,Pipe-16,C,,0.5929114366853895,0.007929178630625332,,
85,RossmanSales,Pipe-16,M,,0.5422857536565482,0.022019751457108876,,
86,RossmanSales,Pipe-16,F,,0.1648973545500653,0.0015746784337097865,,
87,RossmanSales,PipeNS-16,C,,0.6724684237633131,0.007688719411268026,,
88,RossmanSales,PipeNS-16,M,,0.6440232536532298,0.02070534151094393,,
89,RossmanSales,PipeNS-16,F,,0.3252802982118197,0.005849989557170696,,
90,RossmanSales,Pipe-32,C,,0.6182574032623449,0.00866709667875863,,
91,RossmanSales,Pipe-32,M,,0.6052439957845458,0.029094161588733708,,
92,RossmanSales,Pipe-32,F,,0.15827618579564906,0.001600885484493969,,
93,RossmanSales,PipeNS-32,C,,0.6182574032623449,0.00866709667875863,,
94,RossmanSales,PipeNS-32,M,,0.6052439957845458,0.029094161588733708,,
95,RossmanSales,PipeNS-32,F,,0.15827618579564906,0.001600885484493969,,
96,PanamaEnergy,Pipe-1,C,,1.0459149995677535,0.01602321956961306,,
97,PanamaEnergy,Pipe-1,M,,0.7181638001116426,0.1255909426408548,,
98,PanamaEnergy,Pipe-1,F,,0.17121017954460016,0.003205705702060159,,
99,PanamaEnergy,PipeNS-1,C,,1.089943172689231,0.01568282122586294,,
100,PanamaEnergy,PipeNS-1,M,,0.7756953708203669,0.12880577600370424,,
101,PanamaEnergy,PipeNS-1,F,,0.17929317103687586,0.003417841864046363,,
102,PanamaEnergy,Pipe-8,C,,1.0055287434644626,0.012861460028599453,,
103,PanamaEnergy,Pipe-8,M,,0.5867790041419546,0.12778331511515192,,
104,PanamaEnergy,Pipe-8,F,,0.16549773698138828,0.00320449174020681,,
105,PanamaEnergy,PipeNS-8,C,,1.0630131313256697,0.013437566921560973,,
106,PanamaEnergy,PipeNS-8,M,,0.8472244676556914,0.13385825720507685,,
107,PanamaEnergy,PipeNS-8,F,,0.17811605427472577,0.0028022368094684333,,
108,PanamaEnergy,Pipe-16,C,,1.0459149995677535,0.01602321956961306,,
109,PanamaEnergy,Pipe-16,M,,0.7181638001116426,0.1255909426408548,,
110,PanamaEnergy,Pipe-16,F,,0.17121017954460016,0.003205705702060159,,
111,PanamaEnergy,PipeNS-16,C,,1.089943172689231,0.01568282122586294,,
