,Dataset,Loss,Level,Avg. MSE,Std. MSE
0,AustraliaTourism,mae,C,0.15730569063173347,0.006293426813006479
1,AustraliaTourism,mae,M,0.23250084560415432,0.005384626176966515
2,AustraliaTourism,mae,F,0.12790037833142914,0.004549782212128499
3,AustraliaTourism,cosine,C,0.18210303682727977,0.020727296712209447
4,AustraliaTourism,cosine,M,0.27349668062001775,0.06110641355563757
5,AustraliaTourism,cosine,F,0.12631456772438193,0.002374393231955334
6,AustraliaTourism,tcorr,C,0.18161558834243094,0.019055215217743626
7,AustraliaTourism,tcorr,M,0.2744348668613258,0.061706105127124565
8,AustraliaTourism,tcorr,F,0.12596906723397566,0.002388784504880922
9,AustraliaTourism,mse,C,0.15205681749772298,0.006105364761603892
10,AustraliaTourism,mse,M,0.24635863051285445,0.008586299258201601
11,AustraliaTourism,mse,F,0.13957236742989565,0.004209027968973205
12,MetroTraffic,mae,C,0.5212650896522899,0.008348638356425625
13,MetroTraffic,mae,M,0.3298631746546843,0.01703534985223358
14,MetroTraffic,mae,F,0.13286000397658027,0.007475206572351162
15,MetroTraffic,cosine,C,0.5345564884932967,0.00987749741233228
16,MetroTraffic,cosine,M,0.40153506998063915,0.0359892802870607
17,MetroTraffic,cosine,F,0.1349501894910829,0.006069036810113237
18,MetroTraffic,tcorr,C,0.5385484761360041,0.009463492534616367
19,MetroTraffic,tcorr,M,0.4133957693623496,0.03793143464406329
20,MetroTraffic,tcorr,F,0.13397405836706514,0.005623362670404292
21,MetroTraffic,mse,C,0.5119843542035913,0.00856461739610116
22,MetroTraffic,mse,M,0.39566654107634347,0.01940940504382153
23,MetroTraffic,mse,F,0.1113786383371961,0.0076665231648764464
24,BeijingAirQuality,mae,C,1.499371030722262,0.019139684820248404
25,BeijingAirQuality,mae,M,0.9940915757221485,0.014137347811205923
26,BeijingAirQuality,mae,F,0.09546502023978602,0.0035174202947395837
27,BeijingAirQuality,cosine,C,1.5325982927089732,0.01877980099677892
28,BeijingAirQuality,cosine,M,1.032756771409581,0.01601020049741639
29,BeijingAirQuality,cosine,F,0.09414158660671121,0.003086822700484668
30,BeijingAirQuality,tcorr,C,1.5371352055832426,0.017743389447423305
31,BeijingAirQuality,tcorr,M,1.0413913206502716,0.015936959831171132
32,BeijingAirQuality,tcorr,F,0.09422234253382678,0.003191525456889176
33,BeijingAirQuality,mse,C,1.4810853096676073,0.018855316273159322
34,BeijingAirQuality,mse,M,0.9810599869074987,0.01479940163720225
35,BeijingAirQuality,mse,F,0.09898736852326978,0.009081524950908006
36,RossmanSales,mae,C,0.5930835118817643,0.005372715850940216
37,RossmanSales,mae,M,0.5312257776891756,0.02265695040434634
38,RossmanSales,mae,F,0.2972429535902732,0.003121856016262494
39,RossmanSales,cosine,C,0.6081457753153141,0.0045729367424766285
40,RossmanSales,cosine,M,0.5529654164210889,0.022246773146805423
41,RossmanSales,cosine,F,0.3268156293412688,0.0057431327390127
42,RossmanSales,tcorr,C,0.602767555596969,0.005048418892891726
43,RossmanSales,tcorr,M,0.5485368450757946,0.02370657088599122
44,RossmanSales,tcorr,F,0.3263386257784931,0.005789723031121314
45,RossmanSales,mse,C,0.5977514837368071,0.005589027171312108
46,RossmanSales,mse,M,0.5373659775636238,0.023471503838012376
47,RossmanSales,mse,F,0.1486826863951546,0.0021588978417167864
48,PanamaEnergy,mae,C,1.0127280248345234,0.012248497031624008
49,PanamaEnergy,mae,M,0.36279266132445437,0.09182541389453726
50,PanamaEnergy,mae,F,0.14242754048218592,0.0031248951015167077
51,PanamaEnergy,cosine,C,1.0461556295933985,0.013600719653602747
52,PanamaEnergy,cosine,M,0.7550189786558705,0.1294464324103361
53,PanamaEnergy,cosine,F,0.1485417376247086,0.0031466611482989567
54,PanamaEnergy,tcorr,C,1.0550481771630171,0.01331919467561274
55,PanamaEnergy,tcorr,M,0.7969393962846771,0.12676110656167483
56,PanamaEnergy,tcorr,F,0.14843964059743547,0.0032745092367391427
57,PanamaEnergy,mse,C,1.0055287434644626,0.012861460028599453
58,PanamaEnergy,mse,M,0.5867790041419546,0.12778331511515192
59,PanamaEnergy,mse,F,0.16549773698138828,0.00320449174020681
