,Dataset,Method,Level,Avg. ACD,Std. ACD
0,MetroTraffic,timegan,C,0.46683650536562,0.004043683991364713
1,MetroTraffic,timegan,M,0.43705974470421954,0.007595640992063657
2,MetroTraffic,timegan,F,0.4025360153953823,0.02425517745763531
3,MetroTraffic,timeweaver,C,0.19089845536093014,0.005462596792358677
4,MetroTraffic,timeweaver,M,0.20811703167741308,0.025318375285069455
5,MetroTraffic,timeweaver,F,0.2342118772144776,0.03784265711574697
6,MetroTraffic,tsdiff-0.0,C,0.3266282930287115,0.004678085418327982
7,MetroTraffic,tsdiff-0.0,M,0.13998997892728726,0.015210287484099706
8,MetroTraffic,tsdiff-0.0,F,0.05142588170147755,0.0004086688706646747
9,MetroTraffic,tsdiff-0.5,C,0.3079054239653859,0.005505398386828715
10,MetroTraffic,tsdiff-0.5,M,0.15929952257456823,0.007775811107775809
11,MetroTraffic,tsdiff-0.5,F,0.05719705707861744,0.001450159131492563
12,MetroTraffic,tsdiff-1.0,C,0.33630178953489615,0.007432933841210809
13,MetroTraffic,tsdiff-1.0,M,0.1586728593828377,0.010065379983521834
14,MetroTraffic,tsdiff-1.0,F,0.062286753788253435,0.0012145839865049573
15,MetroTraffic,tsdiff-2.0,C,0.35584512654794404,0.004997050635332618
16,MetroTraffic,tsdiff-2.0,M,0.18951418836467,0.011911260489525722
17,MetroTraffic,tsdiff-2.0,F,0.05731278756947454,0.0010913178906081615
18,MetroTraffic,hyacinth-1,C,0.14040108276901608,0.008939392569827776
19,MetroTraffic,hyacinth-1,M,0.11391630265688894,0.011584083115007353
20,MetroTraffic,hyacinth-1,F,0.05120324271650275,0.0019622907650227407
21,MetroTraffic,hyacinth-8,C,0.12831213511421496,0.005460518361613736
22,MetroTraffic,hyacinth-8,M,0.11927047156095598,0.010770814810369195
23,MetroTraffic,hyacinth-8,F,0.04135981999086914,0.001891868409123881
24,MetroTraffic,hyacinth-16,C,0.14846386610058,0.010460914545555049
25,MetroTraffic,hyacinth-16,M,0.13304956561527953,0.0068604481449634925
26,MetroTraffic,hyacinth-16,F,0.041657051590595844,0.0015757886554801422
27,MetroTraffic,hyacinth-32,C,0.1942539771973763,0.009239163130536951
28,MetroTraffic,hyacinth-32,M,0.12177766041036638,0.017470501932702838
29,MetroTraffic,hyacinth-32,F,0.04190137966839182,0.0010092864705272628
30,RossmanSales,timegan,C,0.2885440174476966,0.0022237791577762937
31,RossmanSales,timegan,M,0.28861238306140213,0.00510038290928559
32,RossmanSales,timegan,F,0.310715952098917,0.004479825795936083
33,RossmanSales,timeweaver,C,0.14951299193331463,0.0005868082550599657
34,RossmanSales,timeweaver,M,0.18139010430235084,0.00354672396510583
35,RossmanSales,timeweaver,F,0.24149660521034008,0.004654346506643273
36,RossmanSales,tsdiff-0.0,C,0.17738242428655174,0.0017400724338711001
37,RossmanSales,tsdiff-0.0,M,0.1537026724778166,0.0038202852128984763
38,RossmanSales,tsdiff-0.0,F,0.10047788465543787,0.002699178563868993
39,RossmanSales,tsdiff-0.5,C,0.13103504837466895,0.001903056024493774
40,RossmanSales,tsdiff-0.5,M,0.17583285603278356,0.005455539353767469
41,RossmanSales,tsdiff-0.5,F,0.12588248126679472,0.005526127461523872
42,RossmanSales,tsdiff-1.0,C,0.13015256492232805,0.0017019884000929121
43,RossmanSales,tsdiff-1.0,M,0.15013121586634098,0.0039493130272324805
44,RossmanSales,tsdiff-1.0,F,0.14214889185653484,0.002278124442627166
45,RossmanSales,tsdiff-2.0,C,0.14772708937614723,0.0029651851027831747
46,RossmanSales,tsdiff-2.0,M,0.13603043613979732,0.001360958221855409
47,RossmanSales,tsdiff-2.0,F,0.12153932662775473,0.006015495196636893
48,RossmanSales,hyacinth-1,C,0.1477721521349134,0.0029636083610821763
49,RossmanSales,hyacinth-1,M,0.19132406020733123,0.005801861189877162
50,RossmanSales,hyacinth-1,F,0.08310247207445653,0.009107323064148076
51,RossmanSales,hyacinth-8,C,0.16714102586239815,0.002454265896470178
52,RossmanSales,hyacinth-8,M,0.1940266815716552,0.005875527010102613
53,RossmanSales,hyacinth-8,F,0.05204874270297525,0.0008610478375240626
54,RossmanSales,hyacinth-16,C,0.16377735546424457,0.001941343457931953
55,RossmanSales,hyacinth-16,M,0.19109099964854503,0.004543956689939376
56,RossmanSales,hyacinth-16,F,0.05752461830789002,0.000841169694766566
57,RossmanSales,hyacinth-32,C,0.15208797937348406,0.0021630615003515393
58,RossmanSales,hyacinth-32,M,0.17409453673094477,0.003814886437683119
59,RossmanSales,hyacinth-32,F,0.05794694816331314,0.0014641028930475345
60,BeijingAirQuality,timegan,C,0.19142241976418178,0.0015277818155615386
61,BeijingAirQuality,timegan,M,0.23085126672493797,0.006144756709923436
62,BeijingAirQuality,timegan,F,0.2228332606535023,0.005186848330415588
63,BeijingAirQuality,timeweaver,C,0.1543785403688876,0.004778361529871564
64,BeijingAirQuality,timeweaver,M,0.10398701856986044,0.0026414817420461556
65,BeijingAirQuality,timeweaver,F,0.26481778907234305,0.020965373255214297
66,BeijingAirQuality,tsdiff-0.0,C,0.2859727617789932,0.010046740749995203
67,BeijingAirQuality,tsdiff-0.0,M,0.2742656487203493,0.0050569289968391854
68,BeijingAirQuality,tsdiff-0.0,F,0.02901989527103142,0.0023780530696065915
69,BeijingAirQuality,tsdiff-0.5,C,0.2842257021285998,0.0023665755765387994
70,BeijingAirQuality,tsdiff-0.5,M,0.17078344630096984,0.006247618743587136
71,BeijingAirQuality,tsdiff-0.5,F,0.024882894662621127,0.0008432397362364028
72,BeijingAirQuality,tsdiff-1.0,C,0.32721479924858166,0.003620886388182971
73,BeijingAirQuality,tsdiff-1.0,M,0.23264078959649287,0.0030570778653058717
74,BeijingAirQuality,tsdiff-1.0,F,0.02394173498212211,0.0005107118662078482
75,BeijingAirQuality,tsdiff-2.0,C,0.2872643103966957,0.008921326195106443
76,BeijingAirQuality,tsdiff-2.0,M,0.21044888381820814,0.004340265468982908
77,BeijingAirQuality,tsdiff-2.0,F,0.028148387206772242,0.0007468709093269967
78,BeijingAirQuality,hyacinth-1,C,0.17962405416506363,0.0057142384773298084
79,BeijingAirQuality,hyacinth-1,M,0.1671598759674816,0.00929343870229976
80,BeijingAirQuality,hyacinth-1,F,0.03386966627276914,0.0011620433270486145
81,BeijingAirQuality,hyacinth-8,C,0.13809515761162405,0.007057099896615541
82,BeijingAirQuality,hyacinth-8,M,0.1260338341494652,0.0035820237747328757
83,BeijingAirQuality,hyacinth-8,F,0.019658023089413522,0.000483217395863724
84,BeijingAirQuality,hyacinth-16,C,0.13635077815837332,0.013760548478335743
85,BeijingAirQuality,hyacinth-16,M,0.12245576731582539,0.011120179813710131
86,BeijingAirQuality,hyacinth-16,F,0.01893973226303069,0.00040706923016291626
87,BeijingAirQuality,hyacinth-32,C,0.15580876959086518,0.004025619842301399
88,BeijingAirQuality,hyacinth-32,M,0.10780739230977834,0.007370338126347845
89,BeijingAirQuality,hyacinth-32,F,0.019368551288198036,0.00030562526103721546
90,AustraliaTourism,timegan,C,0.25922183703910584,0.0148972057333862
91,AustraliaTourism,timegan,M,0.25343553650684464,0.00632074971060736
92,AustraliaTourism,timegan,F,0.2554893275914442,0.023847743762481808
93,AustraliaTourism,timeweaver,C,0.024296263116468476,0.002943267282065743
94,AustraliaTourism,timeweaver,M,0.09311244551383524,0.02098565887618079
95,AustraliaTourism,timeweaver,F,0.12579625142052808,0.0015174314360183684
96,AustraliaTourism,tsdiff-0.0,C,0.1211907207150297,0.0011374759668767906
97,AustraliaTourism,tsdiff-0.0,M,0.18977532275427192,0.0027117507454125543
98,AustraliaTourism,tsdiff-0.0,F,0.11353153225733055,0.0015875779152686351
99,AustraliaTourism,tsdiff-0.5,C,0.08994109559705862,0.0031822024357058385
100,AustraliaTourism,tsdiff-0.5,M,0.25573410633786886,0.00220369435220164
101,AustraliaTourism,tsdiff-0.5,F,0.09033384462120042,0.0010316695463048915
102,AustraliaTourism,tsdiff-1.0,C,0.09104433939232431,0.0011084771882882186
103,AustraliaTourism,tsdiff-1.0,M,0.1312516721739128,0.0023546171581660356
104,AustraliaTourism,tsdiff-1.0,F,0.08438937864649591,0.0005068430597327079
105,AustraliaTourism,tsdiff-2.0,C,0.06747840109088463,0.0014176790092727803
106,AustraliaTourism,tsdiff-2.0,M,0.17348435549184688,0.0019121029335894253
107,AustraliaTourism,tsdiff-2.0,F,0.10049240144505882,0.0005638408941091108
108,AustraliaTourism,hyacinth-1,C,0.016931827932954967,0.0022694474814653975
109,AustraliaTourism,hyacinth-1,M,0.03318069352737992,0.0014421820293395403
110,AustraliaTourism,hyacinth-1,F,0.02253875012022734,0.0002707007526326269
111,AustraliaTourism,hyacinth-8,C,0.018217110869508363,0.002988307578265094
112,AustraliaTourism,hyacinth-8,M,0.03797738245181359,0.0027347250141145506
113,AustraliaTourism,hyacinth-8,F,0.022639332213947823,0.0009532604028592246
114,AustraliaTourism,hyacinth-16,C,0.019785168073674426,0.0028812267358228677
115,AustraliaTourism,hyacinth-16,M,0.04694078694700559,0.00645106029938307
116,AustraliaTourism,hyacinth-16,F,0.021844085306552248,0.0005043873918663921
117,AustraliaTourism,hyacinth-32,C,0.02277751640749897,0.002347847125595382
118,AustraliaTourism,hyacinth-32,M,0.06945587963761111,0.013779370867180531
119,AustraliaTourism,hyacinth-32,F,0.024431814460636612,0.0017490103364064368
120,PanamaEnergy,timegan,C,0.4102106363311731,0.00041277257642284093
121,PanamaEnergy,timegan,M,0.3816704798596541,0.0019425904148771876
122,PanamaEnergy,timegan,F,0.4173279152305745,0.0005445012013757022
123,PanamaEnergy,timeweaver,C,0.32135148155494125,0.002625772593418552
124,PanamaEnergy,timeweaver,M,0.25840034177264454,0.020333125474308232
125,PanamaEnergy,timeweaver,F,0.3526243027083725,0.02422579563579502
126,PanamaEnergy,tsdiff-0.0,C,0.3777458270324602,0.0031183223553619527
127,PanamaEnergy,tsdiff-0.0,M,0.26345753270423483,0.032437468923142164
128,PanamaEnergy,tsdiff-0.0,F,0.06057417900365586,0.0007751875151651427
129,PanamaEnergy,tsdiff-0.5,C,0.38816370225035746,0.001475134357212807
130,PanamaEnergy,tsdiff-0.5,M,0.3090356880711874,0.011073611999778278
131,PanamaEnergy,tsdiff-0.5,F,0.08120329836502957,0.0006007105567027752
132,PanamaEnergy,tsdiff-1.0,C,0.42331236522561805,0.0017834163394337805
133,PanamaEnergy,tsdiff-1.0,M,0.29974403577660436,0.007836671413687095
134,PanamaEnergy,tsdiff-1.0,F,0.0661866718996865,0.0004767128442808173
135,PanamaEnergy,tsdiff-2.0,C,0.3556255246350143,0.0014573683113946298
136,PanamaEnergy,tsdiff-2.0,M,0.3454087947183348,0.01206614521368681
137,PanamaEnergy,tsdiff-2.0,F,0.05421314682038726,0.0005601378450413455
138,PanamaEnergy,hyacinth-1,C,0.2956703801463161,0.006781365006544621
139,PanamaEnergy,hyacinth-1,M,0.15020188019141562,0.0347588821332128
140,PanamaEnergy,hyacinth-1,F,0.06979116916583643,0.004292495977695102
141,PanamaEnergy,hyacinth-8,C,0.2877602892824928,0.006614126681805611
142,PanamaEnergy,hyacinth-8,M,0.17291936686142934,0.023692426613172946
143,PanamaEnergy,hyacinth-8,F,0.05761254327009082,0.0058815103041817
144,PanamaEnergy,hyacinth-16,C,0.2951215516766953,0.0035961699216470315
145,PanamaEnergy,hyacinth-16,M,0.19482829366600146,0.025201611058391162
146,PanamaEnergy,hyacinth-16,F,0.055691549661844066,0.004246251773205601
147,PanamaEnergy,hyacinth-32,C,0.3237922572976933,0.005865168840348364
148,PanamaEnergy,hyacinth-32,M,0.1989789900876951,0.013529218890453732
149,PanamaEnergy,hyacinth-32,F,0.042745577825818906,0.004104945110618339
