,Dataset,Method,Level,Avg. ACD,Std. ACD
0,MetroTraffic,wavestitch-8,C,0.14239265185898287,0.007297667965101742
1,MetroTraffic,wavestitch-8,M,0.13392249342354456,0.01017272270824141
2,MetroTraffic,wavestitch-8,F,0.04193112947019499,0.0014408998331573374
3,MetroTraffic,wavestitch-16,C,0.149311730160465,0.00966856026129773
4,MetroTraffic,wavestitch-16,M,0.13256437955668135,0.00983385116222542
5,MetroTraffic,wavestitch-16,F,0.041890822510538175,0.0010196377183066113
6,MetroTraffic,wavestitch-32,C,0.19481033602700526,0.009257184891222627
7,MetroTraffic,wavestitch-32,M,0.11589872198752157,0.017564908512743508
8,MetroTraffic,wavestitch-32,F,0.04344507281669215,0.0020112707469217804
9,MetroTraffic,wavestitch-1,C,0.1932434769792583,0.007218475670115511
10,MetroTraffic,wavestitch-1,M,0.12543493959481664,0.014525476180365154
11,MetroTraffic,wavestitch-1,F,0.040099997645590676,0.0018411807753270224
12,MetroTraffic,timegan,C,0.46683650536562,0.004043683991364713
13,MetroTraffic,timegan,M,0.43705974470421954,0.007595640992063657
14,MetroTraffic,timegan,F,0.4025360153953823,0.02425517745763531
15,MetroTraffic,timeweaver,C,0.19089845536093014,0.005462596792358677
16,MetroTraffic,timeweaver,M,0.20811703167741308,0.025318375285069455
17,MetroTraffic,timeweaver,F,0.2342118772144776,0.03784265711574697
18,MetroTraffic,tsdiff-0.5,C,0.3079054239653859,0.005505398386828715
19,MetroTraffic,tsdiff-0.5,M,0.15929952257456823,0.007775811107775809
20,MetroTraffic,tsdiff-0.5,F,0.05719705707861744,0.001450159131492563
21,RossmanSales,wavestitch-8,C,0.1621450344068629,0.0014683385710454059
22,RossmanSales,wavestitch-8,M,0.1829007632415625,0.007377517942932307
23,RossmanSales,wavestitch-8,F,0.050872385915007326,0.0010958442895069558
24,RossmanSales,wavestitch-16,C,0.1607294571304752,0.0017463632016715734
25,RossmanSales,wavestitch-16,M,0.18283602835207147,0.002728376461011164
26,RossmanSales,wavestitch-16,F,0.05313880528699845,0.0002825019467011476
27,RossmanSales,wavestitch-32,C,0.15210639242125124,0.0021738528855245985
28,RossmanSales,wavestitch-32,M,0.17193014954146205,0.003427619900242467
29,RossmanSales,wavestitch-32,F,0.05570134045576096,0.001097144016695432
30,RossmanSales,wavestitch-1,C,0.1700051143874774,0.0011551405997265263
31,RossmanSales,wavestitch-1,M,0.20342678515072582,0.0019155876548026065
32,RossmanSales,wavestitch-1,F,0.05004649354406676,0.0015146605364073854
33,RossmanSales,timegan,C,0.2885440174476966,0.0022237791577762937
34,RossmanSales,timegan,M,0.28861238306140213,0.00510038290928559
35,RossmanSales,timegan,F,0.310715952098917,0.004479825795936083
36,RossmanSales,timeweaver,C,0.14951299193331463,0.0005868082550599657
37,RossmanSales,timeweaver,M,0.18139010430235084,0.00354672396510583
38,RossmanSales,timeweaver,F,0.24149660521034008,0.004654346506643273
39,RossmanSales,tsdiff-0.5,C,0.13103504837466895,0.001903056024493774
40,RossmanSales,tsdiff-0.5,M,0.17583285603278356,0.005455539353767469
41,RossmanSales,tsdiff-0.5,F,0.12588248126679472,0.005526127461523872
42,BeijingAirQuality,wavestitch-8,C,0.12694931906429313,0.003495695147691544
43,BeijingAirQuality,wavestitch-8,M,0.11567135215778432,0.01000277091549549
44,BeijingAirQuality,wavestitch-8,F,0.02022156026096502,0.0005864168862728309
45,BeijingAirQuality,wavestitch-16,C,0.13757811184092175,0.012515622935619138
46,BeijingAirQuality,wavestitch-16,M,0.12669996331579467,0.01246558421751367
47,BeijingAirQuality,wavestitch-16,F,0.02009853429920224,0.0010783325204236634
48,BeijingAirQuality,wavestitch-32,C,0.15579468497722265,0.004096134753185039
49,BeijingAirQuality,wavestitch-32,M,0.1085212140824535,0.007471915581257837
50,BeijingAirQuality,wavestitch-32,F,0.020838854413607028,0.0008455204944712664
51,BeijingAirQuality,wavestitch-1,C,0.15143169346834712,0.007429019259983888
52,BeijingAirQuality,wavestitch-1,M,0.10704082368705636,0.004801448684586427
53,BeijingAirQuality,wavestitch-1,F,0.02156368203117524,0.0005786769297457253
54,BeijingAirQuality,timegan,C,0.19142241976418178,0.0015277818155615386
55,BeijingAirQuality,timegan,M,0.23085126672493797,0.006144756709923436
56,BeijingAirQuality,timegan,F,0.2228332606535023,0.005186848330415588
57,BeijingAirQuality,timeweaver,C,0.1543785403688876,0.004778361529871564
58,BeijingAirQuality,timeweaver,M,0.10398701856986044,0.0026414817420461556
59,BeijingAirQuality,timeweaver,F,0.26481778907234305,0.020965373255214297
60,BeijingAirQuality,tsdiff-0.5,C,0.2842257021285998,0.0023665755765387994
61,BeijingAirQuality,tsdiff-0.5,M,0.17078344630096984,0.006247618743587136
62,BeijingAirQuality,tsdiff-0.5,F,0.024882894662621127,0.0008432397362364028
63,AustraliaTourism,wavestitch-8,C,0.0184745106216773,0.001591847228288318
64,AustraliaTourism,wavestitch-8,M,0.03847398363093647,0.0009860290416006613
65,AustraliaTourism,wavestitch-8,F,0.021876442132087625,0.0004697921475934148
66,AustraliaTourism,wavestitch-16,C,0.019123613636347882,0.001044684428410539
67,AustraliaTourism,wavestitch-16,M,0.03770491928175794,0.0002423708134157381
