,Dataset,Method,Level,Avg. MSE,Std. MSE
0,AustraliaTourism,TimeGAN,C,8.15917717710669,0.11501225137970146
1,AustraliaTourism,TimeWeaver,C,0.295252092207593,0.0400936160706449
2,AustraliaTourism,TSDiff-0,C,1.469385934197759,0.001531842568434515
3,AustraliaTourism,TSDiff-0.5,C,1.2229594924880156,0.007247673421440799
4,AustraliaTourism,TSDiff-1.0,C,1.1742752122309796,0.0022376443862720456
5,AustraliaTourism,TSDiff-2.0,C,1.0621958468368649,0.021654819797850916
6,AustraliaTourism,Pipe-1,C,0.17326213753184017,0.006781655183609731
7,AustraliaTourism,Pipe-8,C,0.16664331922704712,0.011885525356363367
8,AustraliaTourism,Pipe-16,C,0.1907939808703341,0.015828738183563666
9,AustraliaTourism,Pipe-32,C,0.3036578434105309,0.062333080999562036
10,AustraliaTourism,TimeGAN,M,8.372697270099493,0.06241225912179261
11,AustraliaTourism,TimeWeaver,M,1.1546304618425323,0.3348268777481505
12,AustraliaTourism,TSDiff-0,M,1.963504908256354,0.019694725343372344
13,AustraliaTourism,TSDiff-0.5,M,1.4804691333038016,0.003287744354675763
14,AustraliaTourism,TSDiff-1.0,M,1.395264828706234,0.020344204773670035
15,AustraliaTourism,TSDiff-2.0,M,1.9321446795472865,0.0015303843695734533
16,AustraliaTourism,Pipe-1,M,0.2990259764813876,0.01666303325999366
17,AustraliaTourism,Pipe-8,M,0.2779839015885989,0.046235186322277355
18,AustraliaTourism,Pipe-16,M,0.4035373037387947,0.09398390134397339
19,AustraliaTourism,Pipe-32,M,0.7168657055682937,0.1469429439112019
20,AustraliaTourism,TimeGAN,F,9.716537598401487,0.12451773350050117
21,AustraliaTourism,TimeWeaver,F,2.2530270194912627,0.00581236280293371
22,AustraliaTourism,TSDiff-0,F,1.3310764788815206,0.011965371912463848
23,AustraliaTourism,TSDiff-0.5,F,1.566666791853263,0.031906050774036465
24,AustraliaTourism,TSDiff-1.0,F,1.4456931516587954,0.007324455955358211
25,AustraliaTourism,TSDiff-2.0,F,1.6094376171145683,0.0040442741146385726
26,AustraliaTourism,Pipe-1,F,0.19295622632094198,0.006774889706073787
27,AustraliaTourism,Pipe-8,F,0.1526935259970505,0.0071514556945266785
28,AustraliaTourism,Pipe-16,F,0.15389444793246687,0.0014510323261341114
29,AustraliaTourism,Pipe-32,F,0.23115226415641507,0.0515964130205465
30,MetroTraffic,TimeGAN,C,8.887499971809438,0.07161819000919642
31,MetroTraffic,TimeWeaver,C,0.5334226121310366,0.01838602015074113
32,MetroTraffic,TSDiff-0,C,1.0264958137504419,0.011029107409108398
33,MetroTraffic,TSDiff-0.5,C,0.963605911490421,0.009035981872715367
34,MetroTraffic,TSDiff-1.0,C,0.8799835235472091,0.014390685006358674
35,MetroTraffic,TSDiff-2.0,C,1.0174049777651053,0.006709683536878404
36,MetroTraffic,Pipe-1,C,0.4691117687344721,0.009927025618006458
37,MetroTraffic,Pipe-8,C,0.5056778923035259,0.009310188440907963
38,MetroTraffic,Pipe-16,C,0.5061746822607336,0.011201265341688495
39,MetroTraffic,Pipe-32,C,0.5471785945602516,0.01562606109383269
40,MetroTraffic,TimeGAN,M,9.194048119401005,0.17537907112784318
41,MetroTraffic,TimeWeaver,M,0.6027560880442063,0.0747641479397941
42,MetroTraffic,TSDiff-0,M,0.5729870594032145,0.03550740748045969
43,MetroTraffic,TSDiff-0.5,M,0.7676353395727448,0.026916687632114793
44,MetroTraffic,TSDiff-1.0,M,0.8463353590975551,0.07337524124888906
45,MetroTraffic,TSDiff-2.0,M,0.8094420590822053,0.04131532937927336
46,MetroTraffic,Pipe-1,M,0.3583589881424663,0.05844715102304144
47,MetroTraffic,Pipe-8,M,0.4387360946235189,0.03668620265447179
48,MetroTraffic,Pipe-16,M,0.43074391713564586,0.05427842768159889
49,MetroTraffic,Pipe-32,M,0.435933380349023,0.03322056800152321
50,MetroTraffic,TimeGAN,F,7.81651028499005,0.22248257129782056
51,MetroTraffic,TimeWeaver,F,0.8735465761929284,0.04235446201788067
52,MetroTraffic,TSDiff-0,F,0.21531638860923663,0.008217724445432973
53,MetroTraffic,TSDiff-0.5,F,0.20015427924399862,0.009992767091904737
54,MetroTraffic,TSDiff-1.0,F,0.29234285434253565,0.011518916667059804
55,MetroTraffic,TSDiff-2.0,F,0.26691638611367124,0.0058003183194601194
56,MetroTraffic,Pipe-1,F,0.21395856903175497,0.01828665031294822
57,MetroTraffic,Pipe-8,F,0.13988256782408398,0.01064251258431047
58,MetroTraffic,Pipe-16,F,0.13908516571809212,0.0066549260711333815
59,MetroTraffic,Pipe-32,F,0.13718408444974445,0.01025140954837944
60,BeijingAirQuality,TimeGAN,C,3.147714300435497,0.0736709489035946
61,BeijingAirQuality,TimeWeaver,C,1.5285057943449551,0.021745590040837214
62,BeijingAirQuality,TSDiff-0,C,2.3331270041082046,0.013816767179177068
63,BeijingAirQuality,TSDiff-0.5,C,1.762929205723759,0.016572908093293048
64,BeijingAirQuality,TSDiff-1.0,C,2.4439960430586405,0.010090772520697833
65,BeijingAirQuality,TSDiff-2.0,C,2.158015988690553,0.00908191480722175
66,BeijingAirQuality,Pipe-1,C,1.5365547380316784,0.01939142894501427
67,BeijingAirQuality,Pipe-8,C,1.5252118136250228,0.01665554490448532
68,BeijingAirQuality,Pipe-16,C,1.5222966946804786,0.02842984689091054
69,BeijingAirQuality,Pipe-32,C,1.5291936067200311,0.014677391068756061
70,BeijingAirQuality,TimeGAN,M,3.5517770940185693,0.17651228858672383
71,BeijingAirQuality,TimeWeaver,M,1.0667967705087473,0.021024625206004826
72,BeijingAirQuality,TSDiff-0,M,1.3418037897016206,0.01128616049494156
73,BeijingAirQuality,TSDiff-0.5,M,1.4223270368618397,0.02531596972066024
74,BeijingAirQuality,TSDiff-1.0,M,2.7800760710801575,0.016130000665579246
75,BeijingAirQuality,TSDiff-2.0,M,1.5143098615167159,0.010430054341200902
76,BeijingAirQuality,Pipe-1,M,1.0691179475215986,0.01054892232798034
77,BeijingAirQuality,Pipe-8,M,1.0272719253613356,0.014683943217272295
78,BeijingAirQuality,Pipe-16,M,1.0366927013750493,0.013708240775811925
79,BeijingAirQuality,Pipe-32,M,1.052202391477776,0.015036654058253851
80,BeijingAirQuality,TimeGAN,F,2.170106719047804,0.03944524632913269
81,BeijingAirQuality,TimeWeaver,F,1.595232352144987,0.04468285296358967
82,BeijingAirQuality,TSDiff-0,F,0.24355784733675806,0.021966734907281443
83,BeijingAirQuality,TSDiff-0.5,F,0.16171565215755243,0.007371820244476205
84,BeijingAirQuality,TSDiff-1.0,F,0.16688006076731826,0.006950022479170169
85,BeijingAirQuality,TSDiff-2.0,F,0.16405975081269938,0.01157422407145556
86,BeijingAirQuality,Pipe-1,F,0.23647464042025423,0.006446804002417593
87,BeijingAirQuality,Pipe-8,F,0.1111138388257985,0.004585173965938146
88,BeijingAirQuality,Pipe-16,F,0.10845807886625733,0.00534157612514583
89,BeijingAirQuality,Pipe-32,F,0.11221277499451403,0.003948673332474772
90,RossmanSales,TimeGAN,C,4.052042819808188,0.0032280883208353297
91,RossmanSales,TimeWeaver,C,0.6453984635267597,0.014372080050530386
92,RossmanSales,TSDiff-0,C,0.7851119578962875,0.007640748052376942
93,RossmanSales,TSDiff-0.5,C,0.8931948622374657,0.021489881239400127
94,RossmanSales,TSDiff-1.0,C,0.68791245936666,0.006565588445450782
95,RossmanSales,TSDiff-2.0,C,0.7595032810229121,0.010717332205021222
96,RossmanSales,Pipe-1,C,0.6547921340553481,0.01157986909265793
