,Dataset,Method,Level,Avg. MSE,Std. MSE
0,AustraliaTourism,TimeGAN,C,8.15917717710669,0.11501225137970146
1,AustraliaTourism,SSSD,C,1.3293249580402946,0.00432818330136492
2,AustraliaTourism,TimeAutoDiff,C,10.405505812976871,0.4331035081446508
3,AustraliaTourism,TimeWeaver,C,0.295252092207593,0.0400936160706449
4,AustraliaTourism,TSDiff-0,C,1.469385934197759,0.001531842568434515
5,AustraliaTourism,TSDiff-0.5,C,1.2229594924880156,0.007247673421440799
6,AustraliaTourism,TSDiff-1.0,C,1.1742752122309796,0.0022376443862720456
7,AustraliaTourism,TSDiff-2.0,C,1.0621958468368649,0.021654819797850916
8,AustraliaTourism,Pipe-1,C,0.1670686306148646,0.00833131303219697
9,AustraliaTourism,Pipe-8,C,0.15205681749772298,0.006105364761603892
10,AustraliaTourism,Pipe-16,C,0.1659186983912968,0.011663071110076955
11,AustraliaTourism,Pipe-32,C,0.30364447233057956,0.0623327420554042
12,AustraliaTourism,TimeGAN,M,8.372697270099493,0.06241225912179261
13,AustraliaTourism,SSSD,M,1.4899381877159754,0.010609515750231144
14,AustraliaTourism,TimeAutoDiff,M,6.200218338783828,0.4066914504343086
15,AustraliaTourism,TimeWeaver,M,1.1546304618425323,0.3348268777481505
16,AustraliaTourism,TSDiff-0,M,1.963504908256354,0.019694725343372344
17,AustraliaTourism,TSDiff-0.5,M,1.4804691333038016,0.003287744354675763
18,AustraliaTourism,TSDiff-1.0,M,1.395264828706234,0.020344204773670035
19,AustraliaTourism,TSDiff-2.0,M,1.9321446795472865,0.0015303843695734533
20,AustraliaTourism,Pipe-1,M,0.28840931498490985,0.04509586285613804
21,AustraliaTourism,Pipe-8,M,0.24635863051285445,0.008586299258201601
22,AustraliaTourism,Pipe-16,M,0.24944241387930893,0.0050910910398884
23,AustraliaTourism,Pipe-32,M,0.7145438991316507,0.14660917111763141
24,AustraliaTourism,TimeGAN,F,9.716537598401487,0.12451773350050117
25,AustraliaTourism,SSSD,F,0.6518763453041531,0.030429051122249105
26,AustraliaTourism,TimeAutoDiff,F,4.021075492900877,0.14422815615604248
27,AustraliaTourism,TimeWeaver,F,2.2530270194912627,0.00581236280293371
28,AustraliaTourism,TSDiff-0,F,1.3310764788815206,0.011965371912463848
29,AustraliaTourism,TSDiff-0.5,F,1.566666791853263,0.031906050774036465
30,AustraliaTourism,TSDiff-1.0,F,1.4456931516587954,0.007324455955358211
31,AustraliaTourism,TSDiff-2.0,F,1.6094376171145683,0.0040442741146385726
32,AustraliaTourism,Pipe-1,F,0.15172508551303016,0.0029760324938912113
33,AustraliaTourism,Pipe-8,F,0.13957236742989565,0.004209027968973205
34,AustraliaTourism,Pipe-16,F,0.13971354241257025,0.003707271504006939
35,AustraliaTourism,Pipe-32,F,0.19377855257929116,0.06459264951431402
36,MetroTraffic,TimeGAN,C,8.887499971809438,0.07161819000919642
37,MetroTraffic,SSSD,C,1.0088134279368763,0.00950176216227213
38,MetroTraffic,TimeAutoDiff,C,3.9574325530386942,0.04036097193012527
39,MetroTraffic,TimeWeaver,C,0.5334226121310366,0.01838602015074113
40,MetroTraffic,TSDiff-0,C,1.0264958137504419,0.011029107409108398
41,MetroTraffic,TSDiff-0.5,C,0.963605911490421,0.009035981872715367
42,MetroTraffic,TSDiff-1.0,C,0.8799835235472091,0.014390685006358674
43,MetroTraffic,TSDiff-2.0,C,1.0174049777651053,0.006709683536878404
44,MetroTraffic,Pipe-1,C,0.5215644908394327,0.0113609468144398
45,MetroTraffic,Pipe-8,C,0.5119843542035913,0.00856461739610116
46,MetroTraffic,Pipe-16,C,0.5063242511809867,0.012197153660741828
47,MetroTraffic,Pipe-32,C,0.5468402133604024,0.015548380270266358
48,MetroTraffic,TimeGAN,M,9.194048119401005,0.17537907112784318
49,MetroTraffic,SSSD,M,0.7013718598997862,0.06128528145247832
50,MetroTraffic,TimeAutoDiff,M,1.666800644875845,0.08845382345317987
51,MetroTraffic,TimeWeaver,M,0.6027560880442063,0.0747641479397941
52,MetroTraffic,TSDiff-0,M,0.5729870594032145,0.03550740748045969
53,MetroTraffic,TSDiff-0.5,M,0.7676353395727448,0.026916687632114793
54,MetroTraffic,TSDiff-1.0,M,0.8463353590975551,0.07337524124888906
55,MetroTraffic,TSDiff-2.0,M,0.8094420590822053,0.04131532937927336
56,MetroTraffic,Pipe-1,M,0.39038461696001825,0.060836061760856354
57,MetroTraffic,Pipe-8,M,0.39566654107634347,0.01940940504382153
58,MetroTraffic,Pipe-16,M,0.37820911195952905,0.055134870298462826
59,MetroTraffic,Pipe-32,M,0.41021379816092984,0.038142855223974384
60,MetroTraffic,TimeGAN,F,7.81651028499005,0.22248257129782056
61,MetroTraffic,SSSD,F,0.12829551489806934,0.005444087053074586
62,MetroTraffic,TimeAutoDiff,F,0.7016689195174404,0.03251788924617243
63,MetroTraffic,TimeWeaver,F,0.8735465761929284,0.04235446201788067
64,MetroTraffic,TSDiff-0,F,0.21531638860923663,0.008217724445432973
65,MetroTraffic,TSDiff-0.5,F,0.20015427924399862,0.009992767091904737
66,MetroTraffic,TSDiff-1.0,F,0.29234285434253565,0.011518916667059804
67,MetroTraffic,TSDiff-2.0,F,0.26691638611367124,0.0058003183194601194
68,MetroTraffic,Pipe-1,F,0.10928718017747327,0.008471806984942293
69,MetroTraffic,Pipe-8,F,0.1113786383371961,0.0076665231648764464
70,MetroTraffic,Pipe-16,F,0.11535472245941951,0.006818753704102576
71,MetroTraffic,Pipe-32,F,0.12098050840351929,0.011210262160606293
72,BeijingAirQuality,TimeGAN,C,3.147714300435497,0.0736709489035946
73,BeijingAirQuality,SSSD,C,1.3296000043202818,0.022307762442362124
74,BeijingAirQuality,TimeAutoDiff,C,16.901024601259394,0.12205909077744141
75,BeijingAirQuality,TimeWeaver,C,1.5285057943449551,0.021745590040837214
76,BeijingAirQuality,TSDiff-0,C,2.3331270041082046,0.013816767179177068
77,BeijingAirQuality,TSDiff-0.5,C,1.762929205723759,0.016572908093293048
78,BeijingAirQuality,TSDiff-1.0,C,2.4439960430586405,0.010090772520697833
79,BeijingAirQuality,TSDiff-2.0,C,2.158015988690553,0.00908191480722175
80,BeijingAirQuality,Pipe-1,C,1.5232401255011283,0.022233512660161697
81,BeijingAirQuality,Pipe-8,C,1.4810853096676073,0.018855316273159322
82,BeijingAirQuality,Pipe-16,C,1.4881331174486263,0.02519942304817913
83,BeijingAirQuality,Pipe-32,C,1.529547449194905,0.014472041088508114
84,BeijingAirQuality,TimeGAN,M,3.5517770940185693,0.17651228858672383
85,BeijingAirQuality,SSSD,M,1.0548412224432548,0.016478588570833813
86,BeijingAirQuality,TimeAutoDiff,M,23.69464373926754,0.42666437454620026
87,BeijingAirQuality,TimeWeaver,M,1.0667967705087473,0.021024625206004826
88,BeijingAirQuality,TSDiff-0,M,1.3418037897016206,0.01128616049494156
89,BeijingAirQuality,TSDiff-0.5,M,1.4223270368618397,0.02531596972066024
90,BeijingAirQuality,TSDiff-1.0,M,2.7800760710801575,0.016130000665579246
91,BeijingAirQuality,TSDiff-2.0,M,1.5143098615167159,0.010430054341200902
92,BeijingAirQuality,Pipe-1,M,1.0426664389903995,0.01524008253554128
93,BeijingAirQuality,Pipe-8,M,0.9810599869074987,0.01479940163720225
94,BeijingAirQuality,Pipe-16,M,0.9992087254877908,0.01144631005003111
95,BeijingAirQuality,Pipe-32,M,1.0510973707933267,0.0149678264711233
96,BeijingAirQuality,TimeGAN,F,2.170106719047804,0.03944524632913269
97,BeijingAirQuality,SSSD,F,0.10684086578128862,0.0021901063326914146
98,BeijingAirQuality,TimeAutoDiff,F,1.08466827035047,0.01865290948000255
99,BeijingAirQuality,TimeWeaver,F,1.595232352144987,0.04468285296358967
100,BeijingAirQuality,TSDiff-0,F,0.24355784733675806,0.021966734907281443
101,BeijingAirQuality,TSDiff-0.5,F,0.16171565215755243,0.007371820244476205
102,BeijingAirQuality,TSDiff-1.0,F,0.16688006076731826,0.006950022479170169
103,BeijingAirQuality,TSDiff-2.0,F,0.16405975081269938,0.01157422407145556
104,BeijingAirQuality,Pipe-1,F,0.10360055536517059,0.007591930068447712
105,BeijingAirQuality,Pipe-8,F,0.09898736852326978,0.009081524950908006
106,BeijingAirQuality,Pipe-16,F,0.10129160606421231,0.009831602500941958
107,BeijingAirQuality,Pipe-32,F,0.11125352101734083,0.01119687801078424
108,RossmanSales,TimeGAN,C,4.052042819808188,0.0032280883208353297
109,RossmanSales,SSSD,C,0.6398964052776399,0.00532432640635424
110,RossmanSales,TimeAutoDiff,C,4.6798713192246755,0.06580518684355431
111,RossmanSales,TimeWeaver,C,0.6453984635267597,0.014372080050530386
112,RossmanSales,TSDiff-0,C,0.7851119578962875,0.007640748052376942
113,RossmanSales,TSDiff-0.5,C,0.8931948622374657,0.021489881239400127
114,RossmanSales,TSDiff-1.0,C,0.68791245936666,0.006565588445450782
