,Dataset,Method,Level,Avg. xcorrD,Std. xcorrD
0,AustraliaTourism,timegan,C,0.0,0.0
1,AustraliaTourism,timegan,M,0.0,0.0
2,AustraliaTourism,timegan,F,0.0,0.0
3,AustraliaTourism,timeweaver,C,0.0,0.0
4,AustraliaTourism,timeweaver,M,0.0,0.0
5,AustraliaTourism,timeweaver,F,0.0,0.0
6,AustraliaTourism,tsdiff-0.0,C,0.0,0.0
7,AustraliaTourism,tsdiff-0.0,M,0.0,0.0
8,AustraliaTourism,tsdiff-0.0,F,0.0,0.0
9,AustraliaTourism,tsdiff-0.5,C,0.0,0.0
10,AustraliaTourism,tsdiff-0.5,M,0.0,0.0
11,AustraliaTourism,tsdiff-0.5,F,0.0,0.0
12,AustraliaTourism,tsdiff-1.0,C,0.0,0.0
13,AustraliaTourism,tsdiff-1.0,M,0.0,0.0
14,AustraliaTourism,tsdiff-1.0,F,0.0,0.0
15,AustraliaTourism,tsdiff-2.0,C,0.0,0.0
16,AustraliaTourism,tsdiff-2.0,M,0.0,0.0
17,AustraliaTourism,tsdiff-2.0,F,0.0,0.0
18,AustraliaTourism,hyacinth-1,C,0.0,0.0
19,AustraliaTourism,hyacinth-1,M,0.0,0.0
20,AustraliaTourism,hyacinth-1,F,0.0,0.0
21,AustraliaTourism,hyacinth-8,C,0.0,0.0
22,AustraliaTourism,hyacinth-8,M,0.0,0.0
23,AustraliaTourism,hyacinth-8,F,0.0,0.0
24,AustraliaTourism,hyacinth-16,C,0.0,0.0
25,AustraliaTourism,hyacinth-16,M,0.0,0.0
26,AustraliaTourism,hyacinth-16,F,0.0,0.0
27,AustraliaTourism,hyacinth-32,C,0.0,0.0
28,AustraliaTourism,hyacinth-32,M,0.0,0.0
29,AustraliaTourism,hyacinth-32,F,0.0,0.0
30,MetroTraffic,timegan,C,0.558180666492003,0.001715348683171856
31,MetroTraffic,timegan,M,0.5872848515507971,0.01669623153408873
32,MetroTraffic,timegan,F,0.5266248398089963,0.014642981643141286
33,MetroTraffic,timeweaver,C,0.1020568701219398,0.006068884384672125
34,MetroTraffic,timeweaver,M,0.20294729874968875,0.02360086525150946
35,MetroTraffic,timeweaver,F,0.10469124407065449,0.01526555844308235
36,MetroTraffic,tsdiff-0.0,C,0.15632416573000857,0.004346444140610421
37,MetroTraffic,tsdiff-0.0,M,0.2234726881663655,0.030137501948928436
38,MetroTraffic,tsdiff-0.0,F,0.08069393150680497,0.0020637925665512626
39,MetroTraffic,tsdiff-0.5,C,0.12041387100194298,0.003081217901421158
40,MetroTraffic,tsdiff-0.5,M,0.18044971872687277,0.013206586890736376
41,MetroTraffic,tsdiff-0.5,F,0.061713410696538254,0.005063358477606253
42,MetroTraffic,tsdiff-1.0,C,0.12506259413377732,0.006803840752512821
43,MetroTraffic,tsdiff-1.0,M,0.19172036934059627,0.015991629662408594
44,MetroTraffic,tsdiff-1.0,F,0.0882291501919493,0.0024807982610216273
45,MetroTraffic,tsdiff-2.0,C,0.11816760526380472,0.0033361220776906416
46,MetroTraffic,tsdiff-2.0,M,0.11758019026732006,0.01653668992631495
47,MetroTraffic,tsdiff-2.0,F,0.06343962017882716,0.0033625488873553354
48,MetroTraffic,hyacinth-1,C,0.04161472187110016,0.010301930744660322
49,MetroTraffic,hyacinth-1,M,0.19698828049887923,0.014895226289177168
50,MetroTraffic,hyacinth-1,F,0.06204528747565015,0.005883702290727429
51,MetroTraffic,hyacinth-8,C,0.09347608984973606,0.003749373001240113
52,MetroTraffic,hyacinth-8,M,0.19716631331771478,0.02156335357043641
53,MetroTraffic,hyacinth-8,F,0.07695749576783446,0.0088373809220062
54,MetroTraffic,hyacinth-16,C,0.10202444694619701,0.0038878487077213517
55,MetroTraffic,hyacinth-16,M,0.20820253919624593,0.015742529540210444
56,MetroTraffic,hyacinth-16,F,0.07095581487089872,0.004441357260303822
57,MetroTraffic,hyacinth-32,C,0.09441458407760085,0.004302932019155002
58,MetroTraffic,hyacinth-32,M,0.22011483804217363,0.031035877401843753
59,MetroTraffic,hyacinth-32,F,0.07695302871926551,0.003472712311313509
60,RossmanSales,timegan,C,0.702877727587798,0.004787419080493295
61,RossmanSales,timegan,M,0.7414177630646136,0.015093984804964076
62,RossmanSales,timegan,F,0.8289712918047168,0.017526222274609895
63,RossmanSales,timeweaver,C,0.03028335853806021,0.0009649550829676816
