,Dataset,Method,Level,Avg. xcorrD,Std. xcorrD
0,AustraliaTourism,timegan,C,0.0,0.0
1,AustraliaTourism,timegan,M,0.0,0.0
2,AustraliaTourism,timegan,F,0.0,0.0
3,AustraliaTourism,timeweaver,C,0.0,0.0
4,AustraliaTourism,timeweaver,M,0.0,0.0
5,AustraliaTourism,timeweaver,F,0.0,0.0
6,AustraliaTourism,tsdiff-0.0,C,0.0,0.0
7,AustraliaTourism,tsdiff-0.0,M,0.0,0.0
8,AustraliaTourism,tsdiff-0.0,F,0.0,0.0
9,AustraliaTourism,tsdiff-0.5,C,0.0,0.0
10,AustraliaTourism,tsdiff-0.5,M,0.0,0.0
11,AustraliaTourism,tsdiff-0.5,F,0.0,0.0
12,AustraliaTourism,tsdiff-1.0,C,0.0,0.0
13,AustraliaTourism,tsdiff-1.0,M,0.0,0.0
14,AustraliaTourism,tsdiff-1.0,F,0.0,0.0
15,AustraliaTourism,tsdiff-2.0,C,0.0,0.0
16,AustraliaTourism,tsdiff-2.0,M,0.0,0.0
17,AustraliaTourism,tsdiff-2.0,F,0.0,0.0
18,AustraliaTourism,wavestitch-1,C,0.0,0.0
19,AustraliaTourism,wavestitch-1,M,0.0,0.0
20,AustraliaTourism,wavestitch-1,F,0.0,0.0
21,AustraliaTourism,wavestitch-8,C,0.0,0.0
22,AustraliaTourism,wavestitch-8,M,0.0,0.0
23,AustraliaTourism,wavestitch-8,F,0.0,0.0
24,AustraliaTourism,wavestitch-16,C,0.0,0.0
25,AustraliaTourism,wavestitch-16,M,0.0,0.0
26,AustraliaTourism,wavestitch-16,F,0.0,0.0
27,AustraliaTourism,wavestitch-32,C,0.0,0.0
28,AustraliaTourism,wavestitch-32,M,0.0,0.0
29,AustraliaTourism,wavestitch-32,F,0.0,0.0
30,AustraliaTourism,sssd,C,0.0,0.0
31,AustraliaTourism,sssd,M,0.0,0.0
32,AustraliaTourism,sssd,F,0.0,0.0
33,AustraliaTourism,timeautodiff,C,0.0,0.0
34,AustraliaTourism,timeautodiff,M,0.0,0.0
35,AustraliaTourism,timeautodiff,F,0.0,0.0
36,MetroTraffic,timegan,C,0.558180666492003,0.001715348683171856
37,MetroTraffic,timegan,M,0.5872848515507971,0.01669623153408873
38,MetroTraffic,timegan,F,0.5266248398089963,0.014642981643141286
39,MetroTraffic,timeweaver,C,0.1020568701219398,0.006068884384672125
40,MetroTraffic,timeweaver,M,0.20294729874968875,0.02360086525150946
41,MetroTraffic,timeweaver,F,0.10469124407065449,0.01526555844308235
42,MetroTraffic,tsdiff-0.0,C,0.15632416573000857,0.004346444140610421
43,MetroTraffic,tsdiff-0.0,M,0.2234726881663655,0.030137501948928436
44,MetroTraffic,tsdiff-0.0,F,0.08069393150680497,0.0020637925665512626
45,MetroTraffic,tsdiff-0.5,C,0.12041387100194298,0.003081217901421158
46,MetroTraffic,tsdiff-0.5,M,0.18044971872687277,0.013206586890736376
47,MetroTraffic,tsdiff-0.5,F,0.061713410696538254,0.005063358477606253
48,MetroTraffic,tsdiff-1.0,C,0.12506259413377732,0.006803840752512821
49,MetroTraffic,tsdiff-1.0,M,0.19172036934059627,0.015991629662408594
50,MetroTraffic,tsdiff-1.0,F,0.0882291501919493,0.0024807982610216273
51,MetroTraffic,tsdiff-2.0,C,0.11816760526380472,0.0033361220776906416
52,MetroTraffic,tsdiff-2.0,M,0.11758019026732006,0.01653668992631495
53,MetroTraffic,tsdiff-2.0,F,0.06343962017882716,0.0033625488873553354
54,MetroTraffic,wavestitch-1,C,0.06841772550151083,0.00558115866229678
55,MetroTraffic,wavestitch-1,M,0.20960571463922273,0.03446667745262541
56,MetroTraffic,wavestitch-1,F,0.04757028496894493,0.00403733956771449
57,MetroTraffic,wavestitch-8,C,0.10405255846411435,0.003297218977983032
58,MetroTraffic,wavestitch-8,M,0.20647556266184827,0.012864864103443908
59,MetroTraffic,wavestitch-8,F,0.07363157479888535,0.005065537166973448
60,MetroTraffic,wavestitch-16,C,0.1054101532967466,0.0033503525682109627
61,MetroTraffic,wavestitch-16,M,0.20260746207787883,0.023648924624171338
62,MetroTraffic,wavestitch-16,F,0.07083991917413818,0.007222463455353742
63,MetroTraffic,wavestitch-32,C,0.09451440380536957,0.0042914388311974345
64,MetroTraffic,wavestitch-32,M,0.20910493675017597,0.030613294001529557
